,t1,t2,rho,Time in months,r,hsa_tmle,hsa_tmle_cummin
0,0.9530699688286304,0.9592789785900304,0.8732290053536691,1.0,8.511454903773162,0.9615885495784281,0.9615885495784281
1,0.904848635275122,0.8089046978671414,0.9554717513915201,2.0,8.51146305237326,0.8715902682097652,0.8715902682097652
2,0.8489481510329465,0.7574373049988236,0.9519185948588832,3.0,8.51146266458389,0.8172474870473231,0.8172474870473231
3,0.8435823026609913,0.721995943117258,0.8717305319452537,4.0,8.511459063197423,0.8146480848990947,0.8146480848990947
4,0.8435823026609913,0.6886227370175315,0.8746061657456079,5.0,8.511462063652607,0.804181311664218,0.804181311664218
5,0.80669115856309,0.677572107270754,0.9213861491408365,6.0,8.511458446416524,0.7676067178839602,0.7676067178839602
6,0.7952958670378042,0.6612755695091201,0.8892047716679432,7.0,8.511458557068059,0.760859258975147,0.760859258975147
7,0.7952958670378042,0.6397716259404874,0.9080114013269998,8.0,8.511460966050555,0.7503781594725087,0.7503781594725087
8,0.7534146601741646,0.6104544697846517,0.9486501046331238,9.0,8.511461955922227,0.7045496064033492,0.7045496064033492
9,0.719655271466191,0.5920707456692239,0.9438822014141259,10.0,8.511456063725044,0.6772834404348674,0.6772834404348674
10,0.7148009435025795,0.5790091649285808,0.9294578357430059,11.0,8.511462935043145,0.6727406894632978,0.6727406894632978
11,0.7023419650508178,0.5767730543795585,0.9229706078395771,12.0,8.511456263173148,0.6655211486011058,0.6655211486011058
12,0.6988270101136284,0.4984883061334884,0.8708554261527858,13.0,8.511455617336043,0.6491989579460749,0.6491989579460749
13,0.6718229056019419,0.46082284154314995,0.9249855328884821,14.0,8.511456866570262,0.6065587350968153,0.6065587350968153
14,0.6675846260125807,0.4526646543348085,0.9312805048344245,15.0,8.511456092482973,0.5996891811835524,0.5996891811835524
15,0.6573154827721631,0.43779561118164234,0.9560290957774091,16.0,8.511453555452906,0.5822347270716433,0.5822347270716433
16,0.6573154827721631,0.4369570879132449,0.9519944225147824,17.0,8.511462625257382,0.5829452103408083,0.5822347270716433
17,0.6573154827721631,0.41221948708720696,0.9312188128365314,18.0,8.511463186646292,0.5810273813498913,0.5810273813498913
18,0.6573154827721631,0.41221947173508794,0.9312188154516895,19.0,8.511457964727494,0.5810273766879966,0.5810273766879966
19,0.6573154827721631,0.41221947173508794,0.9312188151038343,20.0,8.511462059799518,0.5810273767692619,0.5810273766879966
20,0.6452014711119183,0.38159897023324046,0.9150162134715831,21.0,8.511463128373226,0.5679223040768271,0.5679223040768271
21,0.6452014711119183,0.35873382772014484,0.8592546246967351,22.0,8.511459745059918,0.5752983765717989,0.5679223040768271
22,0.6249621996541656,0.34224300762649895,0.9034686885334257,23.0,8.511456924519935,0.5457878676319872,0.5457878676319872
23,0.6155505836229567,0.34224300762649895,0.9378733699719322,24.0,8.511457352225758,0.5306567085808627,0.5306567085808627
24,0.6155505721094274,0.34224300762649895,0.9378733967512078,25.0,8.511457453063944,0.5306566936099263,0.5306566936099263
25,0.6155505721094274,0.34224300762649895,0.9378733701491654,26.0,8.511459074266302,0.5306566997498997,0.5306566936099263
26,0.6155505721094274,0.30404226229878534,0.8720292780254205,27.0,8.511461619638943,0.5373018468953296,0.5306566936099263
27,0.5832409490265988,0.30404226229878534,0.9397297500786642,28.0,8.511455462706314,0.4968314959406718,0.4968314959406718
28,0.5832409306370775,0.30404226229878534,0.9397298058063456,29.0,8.51145601314248,0.49683146916167736,0.49683146916167736
29,0.5832408923514956,0.30404226229878534,0.9397299617844547,30.0,8.511454722165611,0.49683140434790896,0.49683140434790896
30,0.5825920675095586,0.30404226229878534,0.9464924803021312,31.0,8.51145812902266,0.49479867051447,0.49479867051447
31,0.5825920675095586,0.30404226229878534,0.9464924855425686,32.0,8.511463084275514,0.49479866932572536,0.49479866932572536
32,0.5825920675095586,0.30404226229878534,0.9365672096879335,33.0,8.511461992469041,0.49705012618714556,0.49479866932572536
33,0.5825920675095586,0.30404226229878534,0.9365671493886804,34.0,8.511458968696575,0.4970501398654724,0.49479866932572536
