,t1,t2,rho,Time in months,r,hsa_tmle,hsa_tmle_cummin
0,1.0,0.9318752443365484,0.9591141157976839,1.0,11.513615627324812,1.0,1.0
1,1.0,0.890799659236859,0.9436814052123716,2.0,11.51361656764666,1.0,1.0
2,0.9514980528200353,0.8516540756326487,0.8770479211959136,3.0,11.513614305618978,0.9258355525123193,0.9258355525123193
3,0.9100289368370045,0.7871828559859672,0.9195711369277035,4.0,11.51361658448603,0.8731551511351767,0.8731551511351767
4,0.9100289368370045,0.7521204183354525,0.9175977002731489,5.0,11.513614501731155,0.8643287247619191,0.8643287247619191
5,0.9100289368370045,0.7294583246227719,0.9050474987484689,6.0,11.513614398253907,0.8606140827872355,0.8606140827872355
6,0.8772241471480601,0.6806028097036244,0.8987245492648853,7.0,11.51361461456297,0.8232705111667107,0.8232705111667107
7,0.8772241471480601,0.6806028097036244,0.9274344797485475,8.0,11.513615758004944,0.818877560519588,0.818877560519588
8,0.652056757864078,0.6573584868694266,0.9025344987809308,9.0,11.513614705213193,0.6767559269172748,0.6767559269172748
9,0.652056757864078,0.6422640170995608,0.9151234284821783,10.0,11.513614882774169,0.6665915040850943,0.6665915040850943
10,0.652056757864078,0.621081723871264,0.9342809728165425,11.0,11.513615845748483,0.6522733985163287,0.6522733985163287
11,0.652056757864078,0.6040714350270373,0.7989752595949,12.0,11.513614639007852,0.6761237204920992,0.6522733985163287
12,0.5973499625298551,0.5997258194986215,0.7881612308883801,13.0,11.51361569346469,0.6494433023077281,0.6494433023077281
13,0.5841635538102392,0.576899733360344,0.8139624806967821,14.0,11.51361548225905,0.6258590052876376,0.6258590052876376
14,0.5344224622502161,0.576899733360344,0.8650000883537005,15.0,11.513616159359268,0.5898438985653813,0.5898438985653813
15,0.4862873384476267,0.5555435437640891,0.9318441994204368,16.0,11.51361543049266,0.5402449973342387,0.5402449973342387
16,0.4470644626455249,0.5503784002603038,0.9046770856537012,17.0,11.513615110228539,0.527634557267344,0.527634557267344
17,0.42904827636918225,0.5243028418052451,0.9594330539046803,18.0,11.513615478217421,0.4912495016498533,0.4912495016498533
18,0.4290482743937036,0.524302838509374,0.9594330587577558,19.0,11.513614445163434,0.4912494976882986,0.4912494976882986
19,0.4290482743937036,0.5153676385864033,0.9537198215508582,20.0,11.51361444880166,0.48739265676258325,0.48739265676258325
20,0.4290482743937036,0.5016528555172163,0.9636534121422309,21.0,11.513615438532854,0.4769937097866461,0.4769937097866461
21,0.42389504687315543,0.4944622202256899,0.9472785221664775,22.0,11.513614072149215,0.47471128419961817,0.47471128419961817
22,0.4018965733490989,0.46272271466394327,0.9620133506309466,23.0,11.513615226492515,0.4434803800356082,0.4434803800356082
23,0.3319680617665473,0.44403958013414246,0.9569896381389733,24.0,11.513615096668648,0.4046838316747173,0.4046838316747173
24,0.3319680617665473,0.4440395791205066,0.9569896376406694,25.0,11.513614399620653,0.40468383116561935,0.40468383116561935
25,0.3319680193922253,0.4440395791205066,0.9569896375927051,26.0,11.513615300783435,0.40468381480771776,0.40468381480771776
26,0.29524042584993837,0.44236317820692556,0.964390363782883,27.0,11.51361567755566,0.38851267276512325,0.38851267276512325
27,0.29429232738177813,0.4283529390384021,0.9505243631802581,28.0,11.513615168185039,0.38223106628520975,0.38223106628520975
28,0.29429232738177813,0.42835293315403045,0.9505243731021995,29.0,11.51361373888166,0.3822310602641232,0.3822310602641232
29,0.29429232738177813,0.4232413807611472,0.9588210844394879,30.0,11.513615698477288,0.3770879881743622,0.3770879881743622
30,0.29266321975197646,0.4031049330219333,0.9473146765354258,31.0,11.51361572681406,0.36637248942053335,0.36637248942053335
31,0.28779129993283786,0.4031049330219333,0.9537125971332872,32.0,11.513616247099533,0.36309000160478155,0.36309000160478155
32,0.2875320957947029,0.4031049330219333,0.9414380693794313,33.0,11.513616653274994,0.36571730322034246,0.36309000160478155
33,0.2875320957947029,0.4031049330219333,0.9414381047636016,34.0,11.513614451257853,0.3657172953644979,0.36309000160478155
34,0.28753207731536856,0.4031049330219333,0.9414380807871716,35.0,11.513616535915908,0.36571729366335354,0.36309000160478155
35,0.28753207731536856,0.4031049330219333,0.9414380859587073,36.0,11.513614444280666,0.365717292515191,0.36309000160478155
36,0.28753207731536856,0.4031049330219333,0.941438101470116,37.0,11.513616210371902,0.3657172890714133,0.36309000160478155
37,0.28753207731536856,0.4031049330219333,0.929427255237259,38.0,11.513613827625857,0.3683838865693253,0.36309000160478155
38,0.28753207731536856,0.4031049330219333,0.9159510623177356,39.0,11.51361536842542,0.37137581416742205,0.36309000160478155
