,t1,t2,rho,Time in months,r,hsa_tmle,hsa_tmle_cummin
0,0.9445469659806868,0.9853697239019356,0.8821590391180822,1.0,33.18421511226294,0.9749478932206989,0.9749478932206989
1,0.9238279117162641,0.95829260564514,0.9965852030165735,2.0,33.18421511226294,0.943970807932957,0.943970807932957
2,0.8142709518219189,0.9278690645242189,0.9755561727211118,3.0,33.18421511226294,0.8884553381237519,0.8884553381237519
3,0.7628334898510657,0.9240112536034514,0.990343451900433,4.0,33.18421511226294,0.8703583628282994,0.8703583628282994
4,0.7046656166991762,0.9240112536034514,0.9372375429003624,5.0,33.18421511226294,0.8642627149388332,0.8642627149388332
5,0.7046656166991762,0.9103571356313678,0.9648598798496759,6.0,33.18421511226294,0.8477844820232101,0.8477844820232101
6,0.6885187086716609,0.8762297930608626,0.9333258847203098,7.0,33.18421511226294,0.8191087903478366,0.8191087903478366
7,0.6286294001321293,0.8618586376446407,0.8805440632257548,8.0,33.18421511226294,0.80189632172452,0.80189632172452
8,0.5804398792982435,0.8618586376446407,0.7134819134267075,9.0,33.18421511226294,0.8205519401420294,0.80189632172452
9,0.5209007073032391,0.8294837323210398,0.5417302654969147,10.0,33.18421511226294,0.816526307107069,0.80189632172452
10,0.47865445719174166,0.7216895625434866,0.7861323418213783,11.0,33.18421511226294,0.6789053740297974,0.6789053740297974
11,0.47865445719174166,0.7115803435685776,0.8961161113324672,12.0,33.18421511226294,0.6468362098740221,0.6468362098740221
12,0.47865445719174166,0.7115803435685776,0.8961161197312977,13.0,33.18421511226294,0.6468362079733068,0.6468362079733068
13,0.47865445719174166,0.7115802830932614,0.8961161167351156,14.0,33.18421511226294,0.646836164479332,0.646836164479332
14,0.4167871300227115,0.7075678991153861,0.8913578697492177,15.0,33.18421511226294,0.6295468011220187,0.6295468011220187
15,0.4167871300227115,0.7075678817048161,0.8913578710879773,16.0,33.18421511226294,0.6295467871763111,0.6295467871763111
16,0.4167871300227115,0.7075678817048161,0.9106914508521857,17.0,33.18421511226294,0.6252108841091685,0.6252108841091685
17,0.4167871300227115,0.7075678817048161,0.9106914519820407,18.0,33.18421511226294,0.6252108838557782,0.6252108838557782
18,0.4167871300227115,0.6057290188280868,0.8631214119963476,19.0,33.18421511226294,0.5620963872836503,0.5620963872836503
19,0.4167871300227115,0.6057290188280868,0.8631214564898132,20.0,33.18421511226294,0.5620963765634344,0.5620963765634344
20,0.4073865847168827,0.5112251193122367,0.9334429854885895,21.0,33.18421511226294,0.4810806230803295,0.4810806230803295
21,0.4073865847168827,0.4680414179933814,0.9488957521074387,22.0,33.18421511226294,0.4521119219879395,0.4521119219879395
22,0.3992701297353398,0.4680414179933814,0.9496117314061174,23.0,33.18421511226294,0.44837666467806236,0.44837666467806236
23,0.2082066419687102,0.4680414179933814,0.9284319240559976,24.0,33.18421511226294,0.39070065980230384,0.39070065980230384
24,0.2082066419687102,0.4680414179933814,0.9284319207902797,25.0,33.18421511226294,0.3907006604639305,0.39070065980230384
25,0.2082066419687102,0.4680414179933814,0.9284319146839272,26.0,33.18421511226294,0.39070066170106277,0.39070065980230384
26,0.2082066419687102,0.4680414179933814,0.9284319442605674,27.0,33.18421511226294,0.3907006557089068,0.3907006557089068
27,0.19622296997421457,0.4061477333074401,0.9329403220451161,28.0,33.18421511226294,0.3407144012423685,0.3407144012423685
28,0.19622296997421457,0.39366333061869035,0.9157387143281599,29.0,33.18421511226294,0.3349624987309057,0.3349624987309057
29,0.19622296997421457,0.3936632415876989,0.9157386949217696,30.0,33.18421511226294,0.3349624379824475,0.3349624379824475
30,0.19622296997421457,0.3697325479508394,0.9107125944670118,31.0,33.18421511226294,0.31881108622574517,0.31881108622574517
31,0.19622296997421457,0.3697325479508394,0.9107125819341918,32.0,33.18421511226294,0.31881108862843555,0.31881108622574517
32,0.19622296997421457,0.3697325479508394,0.910712583651987,33.0,33.18421511226294,0.31881108829911375,0.31881108622574517
33,0.19622296997421457,0.3697325479508394,0.8666356622880682,34.0,33.18421511226294,0.32726115724631577,0.31881108622574517
34,0.19622296997421457,0.3697325479508394,0.8666356352973147,35.0,33.18421511226294,0.3272611624207636,0.31881108622574517
35,0.19622296997421457,0.3697325479508394,0.8666356340202991,36.0,33.18421511226294,0.3272611626655826,0.31881108622574517
36,0.19622296997421457,0.3697325479508394,0.8666356522475687,37.0,33.18421511226294,0.3272611591711987,0.31881108622574517
37,0.11616041742831468,0.3697325479508394,0.8388013986614322,38.0,33.18421511226294,0.3132024855287194,0.3132024855287194
38,0.11616041742831468,0.3697325479508394,0.83880129359807,39.0,33.18421511226294,0.3132025017794684,0.3132024855287194
39,0.11616041742831468,0.3697325479508394,0.8388013739222377,40.0,33.18421511226294,0.3132024893552716,0.3132024855287194
40,0.040201703684423516,0.3697325479508394,0.9375945602976213,41.0,33.18421511226294,0.3061638602587149,0.3061638602587149
