,t1,t2,rho,Time in months,r,hsa_tmle,hsa_tmle_cummin
0,1.0,0.996094086928703,0.9953060582300096,1.0,34.118105162872006,1.0,1.0
1,1.0,0.9259593789597009,0.9956868917862673,2.0,34.118105162872006,1.0,1.0
2,1.0,0.9259593789597009,0.9907425145558293,3.0,34.118105162872006,1.0,1.0
3,0.9659637787627852,0.8670093689092416,0.8844231753044943,4.0,34.118105162872006,0.9410190205060841,0.9410190205060841
4,0.7804172673076953,0.8670093689092416,0.989282139141619,5.0,34.118105162872006,0.8317366285501533,0.8317366285501533
5,0.7804172673076953,0.8030985061910063,0.9898940120538227,6.0,34.118105162872006,0.7938116652246806,0.7938116652246806
6,0.7804172673076953,0.8030985061910063,0.9866056749683015,7.0,34.118105162872006,0.794352977371617,0.7938116652246806
7,0.7804172673076953,0.7418019526371924,0.993561186576696,8.0,34.118105162872006,0.7633020521676808,0.7633020521676808
8,0.7804172673076953,0.7418019526371924,0.9893604925327449,9.0,34.118105162872006,0.7640630861358595,0.7633020521676808
9,0.7599625429765322,0.643449550965798,0.9916364857821381,10.0,34.118105162872006,0.7115501350660954,0.7115501350660954
10,0.6826500721194226,0.5946891666778225,0.983208317398372,11.0,34.118105162872006,0.6467005751633792,0.6467005751633792
11,0.682650049327958,0.5946891518041828,0.9832083068785828,12.0,34.118105162872006,0.6467005579794487,0.6467005579794487
12,0.6293625782932638,0.4684928724441018,0.9820083900416533,13.0,34.118105162872006,0.5663318688264638,0.5663318688264638
13,0.6293625782932638,0.4684928724441018,0.9492372070885248,14.0,34.118105162872006,0.574229980138488,0.5663318688264638
14,0.6293625782932638,0.4684928724441018,0.9301648674297665,15.0,34.118105162872006,0.5788265631126532,0.5663318688264638
15,0.6293625782932638,0.41487253556755566,0.9697069338252824,16.0,34.118105162872006,0.5523764291394823,0.5523764291394823
16,0.5892558248794724,0.1636442160618155,0.9318970587653752,17.0,34.118105162872006,0.4868617342088253,0.4868617342088253
17,0.5730733304977109,0.05862821215585593,0.9167248063969031,18.0,34.118105162872006,0.49157751822539086,0.4868617342088253
18,0.5730733261440017,0.05862821215585593,0.9167248034861166,19.0,34.118105162872006,0.49157751432665364,0.4868617342088253
19,0.3279227670744726,0.05862821215585593,0.9011833473598334,20.0,34.118105162872006,0.26793550885085937,0.26793550885085937
20,0.3279227670744726,0.05862821215585593,0.8629938546869559,21.0,34.118105162872006,0.27214736161157393,0.26793550885085937
21,0.24703079484715787,0.057835823548767075,0.9457656911012233,22.0,34.118105162872006,0.19536349123842428,0.19536349123842428
22,0.24703079484715787,0.05783582185305667,0.945765688684676,23.0,34.118105162872006,0.1953634915150454,0.19536349123842428
23,0.24703079484715787,0.05783582185305667,0.9457656880857277,24.0,34.118105162872006,0.1953634915753451,0.19536349123842428
24,0.24703079484715787,0.05783582185305667,0.9457656942304236,25.0,34.118105162872006,0.19536349095672179,0.19536349095672179
25,0.2392996942948625,0.05783582185305667,0.9444224998580115,26.0,34.118105162872006,0.18923521207875169,0.18923521207875169
26,0.2014522239001471,0.05205799925974914,0.9198415134317836,27.0,34.118105162872006,0.16106638995447237,0.16106638995447237
27,0.20145219866322536,0.05205799925974914,0.919841517551729,28.0,34.118105162872006,0.1610663695027514,0.1610663695027514
28,0.20145219804297404,0.05205799925974914,0.919841519680663,29.0,34.118105162872006,0.16106636881944328,0.16106636881944328
29,0.20145219804297404,0.05176604591008507,0.933836213474168,30.0,34.118105162872006,0.15980718650376313,0.15980718650376313
30,0.20145219804297404,0.051766037303070944,0.9338362425407772,31.0,34.118105162872006,0.15980718356978174,0.15980718356978174
31,0.20145219804297404,0.051766037303070944,0.9338362272825591,32.0,34.118105162872006,0.15980718492565937,0.15980718356978174
32,0.20145219804297404,0.051766037303070944,0.9338362055433334,33.0,34.118105162872006,0.1598071868574531,0.15980718356978174
33,0.20145219804297404,0.051766037303070944,0.9338362238508986,34.0,34.118105162872006,0.159807185230604,0.15980718356978174
34,0.20145219804297404,0.051766037303070944,0.9338362138387947,35.0,34.118105162872006,0.15980718612030081,0.15980718356978174
35,0.20145219804297404,0.051766037303070944,0.9338362221472877,36.0,34.118105162872006,0.15980718538199049,0.15980718356978174
36,0.20145219804297404,0.051766037303070944,0.9338362264219116,37.0,34.118105162872006,0.15980718500213834,0.15980718356978174
37,0.20145219804297404,0.051766037303070944,0.9338362152218147,38.0,34.118105162872006,0.1598071859974027,0.15980718356978174
